threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive
0.38,0.9030558482613277,0.011061946902654867,0.2777777777777778,0.02127659574468085,0.6638694967444703,0.007358506188662587,4280,447,13,5
0.4,0.9182297154899894,0.010582010582010581,0.2222222222222222,0.020202020202020204,0.6638694967444703,0.007358506188662587,4353,374,14,4
0.37,0.8958904109589041,0.0102880658436214,0.2777777777777778,0.01984126984126984,0.6638694967444703,0.007358506188662587,4246,481,13,5
0.34,0.8746048472075869,0.010186757215619695,0.3333333333333333,0.019769357495881382,0.6638694967444703,0.007358506188662587,4144,583,12,6
0.31,0.852054794520548,0.01002865329512894,0.3888888888888889,0.019553072625698324,0.6638694967444703,0.007358506188662587,4036,691,11,7
0.3,0.8463645943097998,0.009655172413793104,0.3888888888888889,0.018842530282637954,0.6638694967444703,0.007358506188662587,4009,718,11,7
0.33,0.8678609062170706,0.00966183574879227,0.3333333333333333,0.018779342723004695,0.6638694967444703,0.007358506188662587,4112,615,12,6
0.36000000000000004,0.8897787144362487,0.009708737864077669,0.2777777777777778,0.01876172607879925,0.6638694967444703,0.007358506188662587,4217,510,13,5
0.39,0.9104320337197049,0.00963855421686747,0.2222222222222222,0.018475750577367205,0.6638694967444703,0.007358506188662587,4316,411,14,4
0.24000000000000002,0.7970495258166491,0.009345794392523364,0.5,0.01834862385321101,0.6638694967444703,0.007358506188662587,3773,954,9,9
0.29000000000000004,0.8396206533192835,0.009247027741083224,0.3888888888888889,0.01806451612903226,0.6638694967444703,0.007358506188662587,3977,750,11,7
0.26,0.8141201264488935,0.00909090909090909,0.4444444444444444,0.017817371937639197,0.6638694967444703,0.007358506188662587,3855,872,10,8
0.23,0.7896733403582719,0.009018036072144289,0.5,0.017716535433070866,0.6638694967444703,0.007358506188662587,3738,989,9,9
0.32,0.8596417281348788,0.00909090909090909,0.3333333333333333,0.017699115044247787,0.6638694967444703,0.007358506188662587,4073,654,12,6
0.35000000000000003,0.8813487881981033,0.009009009009009009,0.2777777777777778,0.017452006980802792,0.6638694967444703,0.007358506188662587,4177,550,13,5
0.28,0.8314014752370916,0.008793969849246231,0.3888888888888889,0.0171990171990172,0.6638694967444703,0.007358506188662587,3938,789,11,7
0.22,0.7825079030558483,0.00872093023255814,0.5,0.017142857142857144,0.6638694967444703,0.007358506188662587,3704,1023,9,9
0.25,0.8056902002107481,0.008695652173913044,0.4444444444444444,0.017057569296375266,0.6638694967444703,0.007358506188662587,3815,912,10,8
0.19,0.7536354056902002,0.008539709649871904,0.5555555555555556,0.01682085786375105,0.6638694967444703,0.007358506188662587,3566,1161,8,10
0.41000000000000003,0.9260273972602739,0.008849557522123894,0.16666666666666666,0.01680672268907563,0.6638694967444703,0.007358506188662587,4391,336,15,3
0.27,0.8233930453108536,0.008393285371702638,0.3888888888888889,0.01643192488262911,0.6638694967444703,0.007358506188662587,3900,827,11,7
0.21000000000000002,0.7719704952581665,0.00831792975970425,0.5,0.016363636363636365,0.6638694967444703,0.007358506188662587,3654,1073,9,9
0.18000000000000002,0.7445732349841939,0.008237232289950576,0.5555555555555556,0.016233766233766232,0.6638694967444703,0.007358506188662587,3523,1204,8,10
0.2,0.7631190727081139,0.00800711743772242,0.5,0.01576182136602452,0.6638694967444703,0.007358506188662587,3612,1115,9,9
0.17,0.7342465753424657,0.00791765637371338,0.5555555555555556,0.0156128024980484,0.6638694967444703,0.007358506188662587,3474,1253,8,10
0.16,0.7268703898840885,0.007704160246533128,0.5555555555555556,0.015197568389057751,0.6638694967444703,0.007358506188662587,3439,1288,8,10
0.15000000000000002,0.7194942044257113,0.007501875468867217,0.5555555555555556,0.014803849000740192,0.6638694967444703,0.007358506188662587,3404,1323,8,10
0.14,0.7129610115911486,0.007331378299120235,0.5555555555555556,0.01447178002894356,0.6638694967444703,0.007358506188662587,3373,1354,8,10
0.13,0.7053740779768177,0.007142857142857143,0.5555555555555556,0.014104372355430184,0.6638694967444703,0.007358506188662587,3337,1390,8,10
0.12,0.6952581664910432,0.006906077348066298,0.5555555555555556,0.013642564802182811,0.6638694967444703,0.007358506188662587,3289,1438,8,10
0.11,0.687249736564805,0.006729475100942127,0.5555555555555556,0.013297872340425532,0.6638694967444703,0.007358506188662587,3251,1476,8,10
0.09999999999999999,0.6760800842992624,0.00649772579597141,0.5555555555555556,0.012845215157353885,0.6638694967444703,0.007358506188662587,3198,1529,8,10
0.09,0.6638566912539515,0.006261740763932373,0.5555555555555556,0.01238390092879257,0.6638694967444703,0.007358506188662587,3140,1587,8,10
0.08,0.6520547945205479,0.006049606775559589,0.5555555555555556,0.011968880909634948,0.6638694967444703,0.007358506188662587,3084,1643,8,10
0.06999999999999999,0.6383561643835617,0.005820721769499418,0.5555555555555556,0.01152073732718894,0.6638694967444703,0.007358506188662587,3019,1708,8,10
0.060000000000000005,0.6210748155953636,0.005555555555555556,0.5555555555555556,0.011001100110011002,0.6638694967444703,0.007358506188662587,2937,1790,8,10
0.05,0.60463645943098,0.005324813631522897,0.5555555555555556,0.010548523206751054,0.6638694967444703,0.007358506188662587,2859,1868,8,10
0.03,0.5637513171759747,0.005303760848601736,0.6111111111111112,0.010516252390057362,0.6638694967444703,0.007358506188662587,2664,2063,7,11
0.04,0.5877766069546891,0.005107252298263534,0.5555555555555556,0.010121457489878543,0.6638694967444703,0.007358506188662587,2779,1948,8,10
0.02,0.5340358271865121,0.004966139954853273,0.6111111111111112,0.009852216748768473,0.6638694967444703,0.007358506188662587,2523,2204,7,11
0.01,0.4798735511064278,0.004850444624090542,0.6666666666666666,0.009630818619582664,0.6638694967444703,0.007358506188662587,2265,2462,6,12
0.42000000000000004,0.9327713382507903,0.0033003300330033004,0.05555555555555555,0.006230529595015576,0.6638694967444703,0.007358506188662587,4425,302,17,1
0.43,0.9393045310853531,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4457,270,18,0
0.44,0.9466807165437302,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4492,235,18,0
0.45,0.953213909378293,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4523,204,18,0
0.46,0.9593256059009484,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4552,175,18,0
0.47000000000000003,0.9669125395152792,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4588,139,18,0
0.48000000000000004,0.9723919915700737,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4614,113,18,0
0.49,0.9787144362486828,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4644,83,18,0
0.5,0.9827186512118019,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4663,64,18,0
0.51,0.9854583772391992,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4676,51,18,0
0.52,0.9871443624868282,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4684,43,18,0
0.53,0.9886195995785036,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4691,36,18,0
0.54,0.9900948366701792,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4698,29,18,0
0.55,0.9909378292939937,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4702,25,18,0
0.56,0.9919915700737618,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4707,20,18,0
0.5700000000000001,0.99304531085353,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4712,15,18,0
0.5800000000000001,0.9936775553213909,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4715,12,18,0
0.59,0.9945205479452055,0.0,0.0,0.0,0.6638694967444703,0.007358506188662587,4719,8,18,0
