station_id,datetime_utc,latitude,longitude,rainfall_1h_mm,rainfall_3h_mm,rainfall_6h_mm,rainfall_24h_mm,rainfall_72h_mm,soil_saturation_pct,deep_soil_saturation_pct,temperature_c,relative_humidity_pct,surface_pressure_hpa,wind_speed_kmh,elevation_m,catchment_slope_deg,dist_to_river_m,upstream_drainage_sqkm,flood_occurred
THL_GRG_04,2022-07-01 07:00:00+00:00,31.713,77.165,0.1,0.3,0.3,0.3,0.3,100.0,93.4,20.4,91,848.8,0.5,980.0,38.2,35.0,5600.0,0
AUT_JNC_03,2022-07-01 07:00:00+00:00,31.745,77.21,0.1,0.3,0.3,0.3,0.3,100.0,93.4,23.4,91,896.0,0.5,1050.0,34.5,80.0,4200.0,0
MND_URBAN_01,2022-07-01 08:00:00+00:00,31.7087,76.932,0.1,0.4,1.4,2.3,2.3,100.0,58.9,24.2,88,920.8,3.2,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-01 08:00:00+00:00,31.745,77.21,0.8,1.1,1.1,1.1,1.1,100.0,93.7,24.2,88,896.3,1.3,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-01 08:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,84.9,84.6,22.1,90,892.0,2.5,1220.0,24.6,210.0,1850.0,0
THL_GRG_04,2022-07-01 08:00:00+00:00,31.713,77.165,0.8,1.1,1.1,1.1,1.1,100.0,93.7,21.2,88,849.2,1.3,980.0,38.2,35.0,5600.0,0
SDR_BSN_07,2022-07-01 08:00:00+00:00,31.533,76.89,0.2,1.7,1.9,3.2,3.2,100.0,100.0,23.7,87,910.5,4.3,860.0,16.8,340.0,3100.0,0
JGN_VLY_05,2022-07-01 09:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,84.6,84.6,22.8,88,891.7,3.1,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-01 09:00:00+00:00,31.533,76.89,0.1,0.8,2.0,3.3,3.3,100.0,100.0,24.5,83,910.4,4.2,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-01 09:00:00+00:00,31.713,77.165,0.6,1.5,1.7,1.7,1.7,100.0,93.7,22.3,86,849.3,2.9,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-01 09:00:00+00:00,31.7087,76.932,0.1,0.3,1.1,2.4,2.4,100.0,59.4,24.8,85,920.6,1.3,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-01 09:00:00+00:00,31.745,77.21,0.6,1.5,1.7,1.7,1.7,100.0,93.7,25.3,86,896.2,2.9,1050.0,34.5,80.0,4200.0,0
JGN_VLY_05,2022-07-01 10:00:00+00:00,31.983,76.776,0.0,0.0,0.0,0.0,0.0,84.3,84.6,24.3,81,891.9,6.1,1220.0,24.6,210.0,1850.0,0
SDR_BSN_07,2022-07-01 10:00:00+00:00,31.533,76.89,0.1,0.4,2.0,3.4,3.4,100.0,100.0,26.0,76,910.3,2.2,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-01 10:00:00+00:00,31.713,77.165,0.1,1.5,1.8,1.8,1.8,100.0,94.0,23.9,76,849.6,5.1,980.0,38.2,35.0,5600.0,0
MND_URBAN_01,2022-07-01 10:00:00+00:00,31.7087,76.932,0.0,0.2,0.6,2.4,2.4,100.0,59.7,26.1,79,920.4,1.9,760.0,22.4,65.0,11200.0,0
AUT_JNC_03,2022-07-01 10:00:00+00:00,31.745,77.21,0.1,1.5,1.8,1.8,1.8,100.0,94.0,26.9,76,896.2,5.1,1050.0,34.5,80.0,4200.0,0
SDR_BSN_07,2022-07-01 11:00:00+00:00,31.533,76.89,0.0,0.2,1.9,3.4,3.4,100.0,100.0,27.2,73,910.3,2.5,860.0,16.8,340.0,3100.0,0
THL_GRG_04,2022-07-01 11:00:00+00:00,31.713,77.165,0.1,0.8,1.9,1.9,1.9,100.0,94.0,24.8,72,849.7,7.1,980.0,38.2,35.0,5600.0,0
