year,samples,positive_cases,positive_rate,mean_rainfall_1d,mean_rainfall_3d,mean_rainfall_7d,mean_rainfall_30d,mean_soil_moisture,max_rainfall_1d,max_rainfall_7d
2020,4381,9,0.002054325496461995,3.709826604198293,11.256202387242947,26.478022147851036,116.11378487252725,0.2706998445715279,102.45666728304144,244.406731702816
2021,4745,39,0.00821917808219178,4.775310770946951,14.327106559075144,33.43306271690887,143.36531588017536,0.27065771110429887,268.77937477360933,383.93016279221
2022,4745,18,0.0037934668071654375,4.420713287475938,13.261621755605397,30.947282236752937,132.68689589265185,0.2863694680361174,139.58952493351657,334.3009393266403
2023,4745,55,0.011591148577449948,4.256365935179441,12.76940011078258,29.78965526649538,127.6050837071875,0.2797724665780929,113.3893704285457,297.5287408880537
