model,validation_roc_auc,validation_pr_auc,test_roc_auc,test_pr_auc
logistic_regression,0.6765155254683497,0.007788490918350589,0.7811591393680947,0.034419994387106016
random_forest,0.6550901440895094,0.006151582330671268,0.7767842605156039,0.031418829238664965
ensemble,0.6638694967444703,0.007358506188662587,0.7880170575692963,0.0385183352507577
