date,district,rainfall_mm
2021-01-10,Pithoragarh,0.7245473206875862
2021-01-10,Rudra Prayag,0.9862210460911168
2021-01-10,Tehri Garhwal,0.0268023253114573
2021-01-10,Udham Singh Nagar,0.0
2021-01-10,Uttarkashi,0.3528518057015851
2021-01-11,Almora,0.2162947328795311
2021-01-11,Bageshwar,0.4849108369134175
2021-01-11,Chamoli,0.6243244988114623
2021-01-11,Champawat,0.0
2021-01-11,Dehra Dun,0.0
2021-01-11,Haridwar,0.0
2021-01-11,Naini Tal,0.0125257192061681
2021-01-11,Pauri Garhwal,0.1318294615562677
2021-01-11,Pithoragarh,0.1917570210265018
2021-01-11,Rudra Prayag,1.6133592105012171
2021-01-11,Tehri Garhwal,0.1848584589890332
2021-01-11,Udham Singh Nagar,0.0
2021-01-11,Uttarkashi,0.678470493140995
2021-01-12,Almora,0.0798237509429535
2021-01-12,Bageshwar,1.320342797534677
2021-01-12,Chamoli,0.6265206336335069
2021-01-12,Champawat,0.0
2021-01-12,Dehra Dun,0.0
2021-01-12,Haridwar,0.0
2021-01-12,Naini Tal,0.0173454218187234
2021-01-12,Pauri Garhwal,0.0267223027414804
2021-01-12,Pithoragarh,0.9540133330296912
2021-01-12,Rudra Prayag,0.2397219301814242
2021-01-12,Tehri Garhwal,0.2361489637949075
2021-01-12,Udham Singh Nagar,0.0
2021-01-12,Uttarkashi,0.1449764924278471
2021-01-13,Almora,0.0
2021-01-13,Bageshwar,0.8929466689519091
2021-01-13,Chamoli,0.4720533961150825
2021-01-13,Champawat,0.0
2021-01-13,Dehra Dun,0.0
2021-01-13,Haridwar,0.0
2021-01-13,Naini Tal,0.0
2021-01-13,Pauri Garhwal,0.0013368282830867
2021-01-13,Pithoragarh,0.532705479049055
2021-01-13,Rudra Prayag,0.326766828206305
2021-01-13,Tehri Garhwal,0.0269738840123157
2021-01-13,Udham Singh Nagar,0.0
2021-01-13,Uttarkashi,0.0228599629858853
2021-01-14,Almora,0.2145566663986633
2021-01-14,Bageshwar,0.3572214987824042
2021-01-14,Chamoli,0.6507507054301771
2021-01-14,Champawat,0.0614420166870309
2021-01-14,Dehra Dun,4.0961487254846976
2021-01-14,Haridwar,1.1480005053254931
2021-01-14,Naini Tal,0.1015338225147524
2021-01-14,Pauri Garhwal,2.291345646579694
2021-01-14,Pithoragarh,0.6726594221443992
2021-01-14,Rudra Prayag,1.2112659481107957
2021-01-14,Tehri Garhwal,3.6407209427162166
2021-01-14,Udham Singh Nagar,0.0209946785392771
2021-01-14,Uttarkashi,1.4513254192900218
2021-01-15,Almora,0.6926667421415786
2021-01-15,Bageshwar,1.249540416824782
2021-01-15,Chamoli,0.8899428905333727
2021-01-15,Champawat,0.0906965333234844
2021-01-15,Dehra Dun,0.0010438811619816
2021-01-15,Haridwar,0.0
2021-01-15,Naini Tal,0.517192131018797
2021-01-15,Pauri Garhwal,0.0672330562129849
2021-01-15,Pithoragarh,0.8704806226176448
2021-01-15,Rudra Prayag,0.4511347044934881
2021-01-15,Tehri Garhwal,0.1750538468141118
2021-01-15,Udham Singh Nagar,2.0596178806120675
2021-01-15,Uttarkashi,0.4544019826184584
2021-01-16,Almora,0.0
2021-01-16,Bageshwar,0.5259641401031437
2021-01-16,Chamoli,0.2905757053252443
2021-01-16,Champawat,0.0
2021-01-16,Dehra Dun,0.0
2021-01-16,Haridwar,0.0
2021-01-16,Naini Tal,0.0
2021-01-16,Pauri Garhwal,0.0661652902209136
2021-01-16,Pithoragarh,0.896897201587574
2021-01-16,Rudra Prayag,0.4860569835970232
2021-01-16,Tehri Garhwal,0.1425705251688357
2021-01-16,Udham Singh Nagar,0.0
2021-01-16,Uttarkashi,0.0735096828981095
2021-01-17,Almora,0.1365997792176655
2021-01-17,Bageshwar,0.7157343545048634
2021-01-17,Chamoli,0.574339705688529
2021-01-17,Champawat,0.0070406626124518
2021-01-17,Dehra Dun,0.0
2021-01-17,Haridwar,0.0
2021-01-17,Naini Tal,0.00026602930039288183
2021-01-17,Pauri Garhwal,0.0877507501371907
2021-01-17,Pithoragarh,0.1831785549114448
2021-01-17,Rudra Prayag,0.538214150356814
2021-01-17,Tehri Garhwal,0.4944948390485905
2021-01-17,Udham Singh Nagar,0.0284185630486556
2021-01-17,Uttarkashi,0.3185253461577907
2021-01-18,Almora,0.0
2021-01-18,Bageshwar,0.3747123053526807
2021-01-18,Chamoli,0.1803030586234884
2021-01-18,Champawat,0.0211219873604734
2021-01-18,Dehra Dun,0.0021770235824224
2021-01-18,Haridwar,0.0
2021-01-18,Naini Tal,6.027226263230796e-05
2021-01-18,Pauri Garhwal,0.0264509279051426
2021-01-18,Pithoragarh,0.2123784492777392
2021-01-18,Rudra Prayag,0.0798031055814038
2021-01-18,Tehri Garhwal,0.3745038971211513
2021-01-18,Udham Singh Nagar,0.0108439251978722
2021-01-18,Uttarkashi,0.3460452500472133
2021-01-19,Almora,0.2685520518687301
2021-01-19,Bageshwar,1.1348584283884575
2021-01-19,Chamoli,0.2205506289880093
2021-01-19,Champawat,0.0
2021-01-19,Dehra Dun,0.0
2021-01-19,Haridwar,0.0
2021-01-19,Naini Tal,0.0040392807382785
2021-01-19,Pauri Garhwal,0.0453827752298856
2021-01-19,Pithoragarh,0.5363606030352295
2021-01-19,Rudra Prayag,0.2982573337852954
2021-01-19,Tehri Garhwal,0.5653087940909256
2021-01-19,Udham Singh Nagar,0.0
2021-01-19,Uttarkashi,0.0964711943665473
2021-01-20,Almora,0.2792224714965831
2021-01-20,Bageshwar,1.6287637467989151
2021-01-20,Chamoli,0.7756591951533185
2021-01-20,Champawat,0.0
2021-01-20,Dehra Dun,0.0
2021-01-20,Haridwar,0.0
2021-01-20,Naini Tal,0.0097287745303746
2021-01-20,Pauri Garhwal,0.0478324713790706
2021-01-20,Pithoragarh,0.600469849156549
2021-01-20,Rudra Prayag,0.6688963522159838
2021-01-20,Tehri Garhwal,0.4965559360745186
2021-01-20,Udham Singh Nagar,0.0
2021-01-20,Uttarkashi,0.0747878118910001
2021-01-21,Almora,0.0
2021-01-21,Bageshwar,0.8572674435613035
2021-01-21,Chamoli,0.3413141528262746
2021-01-21,Champawat,0.0
2021-01-21,Dehra Dun,0.0
2021-01-21,Haridwar,0.0
2021-01-21,Naini Tal,0.0
2021-01-21,Pauri Garhwal,0.0
2021-01-21,Pithoragarh,0.4057348038812508
2021-01-21,Rudra Prayag,0.1020828993267191
2021-01-21,Tehri Garhwal,0.0082462825620666
2021-01-21,Udham Singh Nagar,0.0
2021-01-21,Uttarkashi,0.0554039976343284
2021-01-22,Almora,0.1445586991501687
2021-01-22,Bageshwar,1.001467802200076
2021-01-22,Chamoli,0.3872313424681015
2021-01-22,Champawat,0.00017444778726544662
2021-01-22,Dehra Dun,0.1039091000708089
2021-01-22,Haridwar,0.1909587867244773
2021-01-22,Naini Tal,0.0361482898446205
2021-01-22,Pauri Garhwal,0.018699020383116
2021-01-22,Pithoragarh,0.6173822266477828
2021-01-22,Rudra Prayag,0.6001726943870848
2021-01-22,Tehri Garhwal,0.1774938002789199
2021-01-22,Udham Singh Nagar,0.00021135086287831612
2021-01-22,Uttarkashi,0.2769980504185858
2021-01-23,Almora,0.004931534615617
2021-01-23,Bageshwar,0.2048878627784741
2021-01-23,Chamoli,0.4935092205443991
2021-01-23,Champawat,0.0
2021-01-23,Dehra Dun,0.1220618664523351
2021-01-23,Haridwar,0.0
2021-01-23,Naini Tal,0.00013301464787369942
2021-01-23,Pauri Garhwal,0.0409320782181201
2021-01-23,Pithoragarh,0.3989661201362665
2021-01-23,Rudra Prayag,0.465979263393308
2021-01-23,Tehri Garhwal,0.4540330579883752
2021-01-23,Udham Singh Nagar,0.0239314210014497
2021-01-23,Uttarkashi,0.3060013693581925
2021-01-24,Almora,0.7425779377129493
2021-01-24,Bageshwar,0.5461452084997505
2021-01-24,Chamoli,0.4178321310777662
2021-01-24,Champawat,0.0
2021-01-24,Dehra Dun,0.0
2021-01-24,Haridwar,0.0
2021-01-24,Naini Tal,0.1191031864986433
2021-01-24,Pauri Garhwal,0.2116768119005018
2021-01-24,Pithoragarh,0.0832036236529415
2021-01-24,Rudra Prayag,0.2187512910994017
2021-01-24,Tehri Garhwal,0.3445849140327185
2021-01-24,Udham Singh Nagar,0.0004522612964238355
2021-01-24,Uttarkashi,0.1723064604425313
2021-01-25,Almora,0.0127786059839622
2021-01-25,Bageshwar,0.0509862121150089
2021-01-25,Chamoli,0.1919194789119951
2021-01-25,Champawat,0.0
2021-01-25,Dehra Dun,0.0366312330883147
2021-01-25,Haridwar,0.0
2021-01-25,Naini Tal,0.0071547332171485
2021-01-25,Pauri Garhwal,0.0937317838540088
2021-01-25,Pithoragarh,0.0295292633417109
2021-01-25,Rudra Prayag,0.1858497337822598
2021-01-25,Tehri Garhwal,0.0300366938190681
2021-01-25,Udham Singh Nagar,0.0
2021-01-25,Uttarkashi,0.0372224644321306
2021-01-26,Almora,0.0413862515017167
2021-01-26,Bageshwar,0.0919393353191588
2021-01-26,Chamoli,0.0222222807222052
2021-01-26,Champawat,0.0
2021-01-26,Dehra Dun,0.1061678899014985
2021-01-26,Haridwar,0.0376650808399717
2021-01-26,Naini Tal,0.0141629426331984
2021-01-26,Pauri Garhwal,0.0045223960645192
2021-01-26,Pithoragarh,0.0055162059141013
2021-01-26,Rudra Prayag,0.0207530219834909
2021-01-26,Tehri Garhwal,0.0542032007563659
2021-01-26,Udham Singh Nagar,0.0110308893917978
2021-01-26,Uttarkashi,0.0186510370685363
2021-01-27,Almora,0.0641085944489985
2021-01-27,Bageshwar,0.0790551452185301
2021-01-27,Chamoli,0.1968455820217377
2021-01-27,Champawat,0.0
2021-01-27,Dehra Dun,0.0
2021-01-27,Haridwar,0.0
2021-01-27,Naini Tal,0.0318409012074865
2021-01-27,Pauri Garhwal,0.0397575350712935
2021-01-27,Pithoragarh,0.046639849502935
2021-01-27,Rudra Prayag,0.2925474864499891
2021-01-27,Tehri Garhwal,0.193766674903934
2021-01-27,Udham Singh Nagar,0.0118585571094999
2021-01-27,Uttarkashi,0.0064624206414661
2021-01-28,Almora,0.0
2021-01-28,Bageshwar,0.0
2021-01-28,Chamoli,0.1129858040654036
2021-01-28,Champawat,0.0
2021-01-28,Dehra Dun,0.0071238755562227
2021-01-28,Haridwar,0.0
2021-01-28,Naini Tal,0.0
2021-01-28,Pauri Garhwal,0.005701179390341
2021-01-28,Pithoragarh,0.014851054991989
2021-01-28,Rudra Prayag,0.0049913642995561
2021-01-28,Tehri Garhwal,0.0
2021-01-28,Udham Singh Nagar,0.0
2021-01-28,Uttarkashi,0.0085576379133787
2021-01-29,Almora,0.1364323442695518
2021-01-29,Bageshwar,0.2930459493550349
2021-01-29,Chamoli,0.3699100857163084
2021-01-29,Champawat,0.0
2021-01-29,Dehra Dun,0.0078188876114261
2021-01-29,Haridwar,0.0
2021-01-29,Naini Tal,0.0090174579394397
2021-01-29,Pauri Garhwal,0.0266344145865308
