system:index,date,soil_moisture_rootzone,soil_moisture_surface,.geo
0,2023-01-01,0.2636055319811544,0.22530150473529656,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2023-01-02,0.2631245631051524,0.22501567347173815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2023-01-03,0.2626014313427813,0.22367318883083495,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2023-01-04,0.26211522041475427,0.22322874935038062,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2023-01-05,0.26141171947791086,0.22038076022589084,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2023-01-06,0.2607315599128063,0.21804483894280033,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2023-01-07,0.2601180394894095,0.2178113107271763,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2023-01-08,0.2593788472729539,0.21553093515105312,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2023-01-09,0.25882871984885625,0.21621521143880704,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2023-01-10,0.2582140906593118,0.21604437041874605,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2023-01-11,0.25761353708160345,0.21528174715771897,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2023-01-12,0.2574233693694527,0.21941256874462753,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2023-01-13,0.25725626838183735,0.2231340539883296,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2023-01-14,0.25692559578812335,0.22231686356489372,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2023-01-15,0.2564297503856585,0.21980636233512657,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2023-01-16,0.25591265419492826,0.21772525110057397,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2023-01-17,0.25537829824875546,0.215361129387955,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2023-01-18,0.25485901665147703,0.2142576478093747,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2023-01-19,0.2548044382166106,0.21881183532138043,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2023-01-20,0.25666202083800466,0.23440080598539215,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2023-01-21,0.2561439718848192,0.22615940676421808,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2023-01-22,0.25542655124595676,0.21985937271397216,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2023-01-23,0.2547224227761279,0.21582809216718213,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2023-01-24,0.256758506204067,0.23788128874671863,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2023-01-25,0.2578054482284493,0.23949481776302173,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2023-01-26,0.2571401640201444,0.2313949590209198,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2023-01-27,0.256520200856685,0.22664240817676298,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2023-01-28,0.2557778595135026,0.22099584176458148,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2023-01-29,0.2558993568044094,0.22724381094259188,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2023-01-30,0.26366627710526735,0.26486884951732304,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2023-01-31,0.26389165286613925,0.24880168320038515,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2023-02-01,0.2627551964603226,0.23647114006237485,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2023-02-02,0.2619639180183995,0.22995161298539127,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2023-02-03,0.26142595845849304,0.2267226392070968,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2023-02-04,0.26092502156097713,0.2251244031742636,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2023-02-05,0.2603673373137184,0.22353662548615016,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2023-02-06,0.25991378222124323,0.2240134590599467,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2023-02-07,0.25933719683454093,0.22172354894553298,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2023-02-08,0.2585888688211752,0.2176555277609757,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2023-02-09,0.25792866040453366,0.2159284228131379,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2023-02-10,0.25779464520679835,0.2207981750508264,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2023-02-11,0.25778251044762573,0.22385511026987218,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2023-02-12,0.2571664555954597,0.21817429183848444,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2023-02-13,0.2564547320186437,0.2130609967073114,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2023-02-14,0.25580271759679324,0.2098320000207254,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2023-02-15,0.25516012734924853,0.20719126869996754,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2023-02-16,0.2546277434336758,0.20704529808618458,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2023-02-17,0.25413609777376717,0.20722422881579491,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2023-02-18,0.2537915717373372,0.20881282446204316,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2023-02-19,0.2531400219796839,0.20694154298882658,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2023-02-20,0.25242611096326634,0.2050888884063081,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2023-02-21,0.25222098607973575,0.21028969194421376,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2023-02-22,0.2523829750999361,0.21244874615360834,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2023-02-23,0.25158696113873025,0.20665538009385964,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2023-02-24,0.2506316087029835,0.20109976617229863,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2023-02-25,0.2497375727450828,0.1974506613727055,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2023-02-26,0.24922296429585108,0.1990649319621165,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2023-02-27,0.2488481330455735,0.20027866622671897,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2023-02-28,0.2483923508478379,0.2006003923884446,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2023-03-01,0.24853216038314668,0.20598556050282868,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2023-03-02,0.24771807646081534,0.19990322630489307,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2023-03-03,0.24687770743902096,0.19455610593183406,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2023-03-04,0.24610813852514665,0.19200685667546483,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2023-03-05,0.2453791302833745,0.19028563670907123,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2023-03-06,0.24470561586940173,0.18921452807768854,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2023-03-07,0.24406613447767767,0.18896228986604582,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2023-03-08,0.24411863813374485,0.1963149101762104,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2023-03-09,0.24425076995000236,0.19951529970361212,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2023-03-10,0.24371791698658052,0.19553723987472937,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2023-03-11,0.2431726149046114,0.19280802003559575,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2023-03-12,0.2433785332864615,0.1994250991545193,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2023-03-13,0.24439403275117477,0.2064845358911868,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2023-03-14,0.2451863705149245,0.2130078799665414,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2023-03-15,0.24606220221241928,0.21536237959969246,"{""type"":""MultiPoint"",""coordinates"":[]}"
