system:index,date,soil_moisture_rootzone,soil_moisture_surface,.geo
51,2021-02-21,0.21518208706407366,0.16400230187489634,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2021-02-22,0.21474521098292482,0.16159307864712952,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2021-02-23,0.21426198059553878,0.15992282193150095,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2021-02-24,0.2136498524175378,0.1569306955382559,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2021-02-25,0.2129545822876067,0.15353666167767668,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2021-02-26,0.212603921442085,0.1557973428673218,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2021-02-27,0.21434697108630063,0.17376519539037125,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2021-02-28,0.2139626934614925,0.1679194825455704,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2021-03-01,0.21325120122516567,0.16158459345264,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2021-03-02,0.21244036280509737,0.15502008540032053,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2021-03-03,0.21168613660853322,0.15050656138764082,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2021-03-04,0.21101013991022946,0.1477241593667898,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2021-03-05,0.21029275777054385,0.1447153879729219,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2021-03-06,0.2096335079561245,0.14313657221531179,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2021-03-07,0.21042143522376883,0.15887083942492156,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2021-03-08,0.21196870314084104,0.1702258477354724,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2021-03-09,0.2115163011617769,0.16404292229988135,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2021-03-10,0.21119164797242085,0.16283016871360895,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2021-03-11,0.2107962123260866,0.15993305133207492,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2021-03-12,0.21037474752421764,0.1587673078356536,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2021-03-13,0.2101698721078833,0.1603196697354824,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2021-03-14,0.20950004918313425,0.15435691362804033,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2021-03-15,0.20876337422759636,0.14895559459064994,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2021-03-16,0.20810314773274727,0.14578264148445846,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2021-03-17,0.20743200246633975,0.14262827694119692,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2021-03-18,0.20693174837397127,0.1422338902858938,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2021-03-19,0.2062899196442139,0.13944561304650072,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2021-03-20,0.20576786452099435,0.13937383020375677,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2021-03-21,0.2054858391084591,0.14235006772256323,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2021-03-22,0.2058713965298609,0.15223052460611902,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2021-03-23,0.20653451328423197,0.1601969451499323,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2021-03-24,0.20630823669277518,0.15675258767698205,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2021-03-25,0.20567940774000146,0.1495641396494019,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2021-03-26,0.2048969687667993,0.1422423242205892,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2021-03-27,0.2043093906781082,0.1395868889773451,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2021-03-28,0.20383326669391977,0.13859201443729022,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2021-03-29,0.20354609366196963,0.14062183965611497,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2021-03-30,0.2029742276642378,0.1380398063592026,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2021-03-31,0.20221599046210356,0.13334974595729185,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2021-04-01,0.20130182707044303,0.12695290561505498,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2021-04-02,0.2004949073915781,0.1233682466350449,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2021-04-03,0.19980963115567416,0.1216926392739944,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2021-04-04,0.1992322040339876,0.1220217878952358,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2021-04-05,0.1989704192183855,0.12639215852828464,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2021-04-06,0.19930119200832022,0.13775416749858177,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2021-04-07,0.20132303126287066,0.1577172356038944,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2021-04-08,0.20096871601650512,0.14977972070619996,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2021-04-09,0.2001809845979552,0.14054441686722752,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2021-04-10,0.19942730717911572,0.13401714812939364,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2021-04-11,0.19871753479309887,0.12866924542801525,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2021-04-12,0.19822575909585916,0.12785103519083846,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2021-04-13,0.1977649985030945,0.12738377224415243,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2021-04-14,0.1972841279498707,0.12662315535270796,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2021-04-15,0.1970155788588914,0.12929857192448851,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2021-04-16,0.19702989952851727,0.13622376760740856,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2021-04-17,0.19926974557557733,0.16651979496285452,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2021-04-18,0.19963318543961753,0.16032645932274958,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2021-04-19,0.19896105531027974,0.14914172919366428,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2021-04-20,0.1991003323220369,0.15322919090482917,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2021-04-21,0.2041757619093144,0.192843661909789,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2021-04-22,0.2084483984469304,0.1941791261008727,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2021-04-23,0.2121659310449387,0.20665189748488436,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2021-04-24,0.214676448737443,0.19558881605383774,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2021-04-25,0.21400221626360294,0.17751645753424067,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2021-04-26,0.21299974506561925,0.16296716945961104,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2021-04-27,0.21230196023558034,0.1568460585710225,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2021-04-28,0.21200469517786905,0.15558589670047093,"{""type"":""MultiPoint"",""coordinates"":[]}"
