date,district,rainfall_mm
2020-01-01,Almora,0.6192392804616973
2020-01-01,Bageshwar,0.8205323316694428
2020-01-01,Chamoli,1.3699746347750934
2020-01-01,Champawat,0.8854015935144581
2020-01-01,Dehra Dun,0.5235955248881029
2020-01-01,Haridwar,0.1584799272029723
2020-01-01,Naini Tal,0.2838457831183811
2020-01-01,Pauri Garhwal,0.1608448106289787
2020-01-01,Pithoragarh,0.932482432993818
2020-01-01,Rudra Prayag,0.668029005913022
2020-01-01,Tehri Garhwal,0.6941759321198443
2020-01-01,Udham Singh Nagar,0.2681691493001303
2020-01-01,Uttarkashi,0.4925401749093213
2020-01-02,Almora,2.77508398217294
2020-01-02,Bageshwar,1.0520560379270194
2020-01-02,Chamoli,1.249854849039204
2020-01-02,Champawat,9.939398617110818
2020-01-02,Dehra Dun,0.7291502944741051
2020-01-02,Haridwar,0.2864659220537164
2020-01-02,Naini Tal,7.838360516372734
2020-01-02,Pauri Garhwal,0.3739117931824592
2020-01-02,Pithoragarh,1.7184041148197986
2020-01-02,Rudra Prayag,0.3480535331309253
2020-01-02,Tehri Garhwal,0.8700843302966561
2020-01-02,Udham Singh Nagar,3.4052341855699586
2020-01-02,Uttarkashi,0.4804412853633596
2020-01-03,Almora,0.0684802042735273
2020-01-03,Bageshwar,0.9172527413426638
2020-01-03,Chamoli,0.522283095914792
2020-01-03,Champawat,0.0986859909016601
2020-01-03,Dehra Dun,0.0286624412962079
2020-01-03,Haridwar,0.0
2020-01-03,Naini Tal,0.1344689762379088
2020-01-03,Pauri Garhwal,0.1760122530599885
2020-01-03,Pithoragarh,0.4369607573404206
2020-01-03,Rudra Prayag,0.8510707903264125
2020-01-03,Tehri Garhwal,0.451701761493754
2020-01-03,Udham Singh Nagar,0.0027180017018098
2020-01-03,Uttarkashi,0.0680245084665065
2020-01-04,Almora,1.0208208795362643
2020-01-04,Bageshwar,0.5782242419526858
2020-01-04,Chamoli,0.6835993838315828
2020-01-04,Champawat,4.813687132643656
2020-01-04,Dehra Dun,1.518345563221798
2020-01-04,Haridwar,0.2242762738362224
2020-01-04,Naini Tal,4.444249606918252
2020-01-04,Pauri Garhwal,1.6962866802267549
2020-01-04,Pithoragarh,0.5995339139691386
2020-01-04,Rudra Prayag,0.4392538717029446
2020-01-04,Tehri Garhwal,1.2866135724391288
2020-01-04,Udham Singh Nagar,0.339994819119337
2020-01-04,Uttarkashi,1.0853829810475584
2020-01-05,Almora,0.0012079717637112
2020-01-05,Bageshwar,0.2510680081571028
2020-01-05,Chamoli,0.1346515814474396
2020-01-05,Champawat,0.0045293674591075
2020-01-05,Dehra Dun,0.1863743487678764
2020-01-05,Haridwar,0.6158628178533113
2020-01-05,Naini Tal,0.0167920606206569
2020-01-05,Pauri Garhwal,0.1084580956653441
2020-01-05,Pithoragarh,0.2587119568559207
2020-01-05,Rudra Prayag,0.2190276332543792
2020-01-05,Tehri Garhwal,0.2436742249172709
2020-01-05,Udham Singh Nagar,0.0996009425584699
2020-01-05,Uttarkashi,0.4822682143430526
2020-01-06,Almora,10.339279193364725
2020-01-06,Bageshwar,12.535181673304418
2020-01-06,Chamoli,11.040549313675472
2020-01-06,Champawat,4.2134148181648925
2020-01-06,Dehra Dun,15.010515437545076
2020-01-06,Haridwar,8.22025953426706
2020-01-06,Naini Tal,7.285558366779984
2020-01-06,Pauri Garhwal,17.798749898484306
2020-01-06,Pithoragarh,5.305033112916401
2020-01-06,Rudra Prayag,14.631060115971469
2020-01-06,Tehri Garhwal,20.37889106910304
2020-01-06,Udham Singh Nagar,5.663735457248667
2020-01-06,Uttarkashi,7.375389073417104
2020-01-07,Almora,5.512185336175725
2020-01-07,Bageshwar,4.973932780274737
2020-01-07,Chamoli,4.128338395157161
2020-01-07,Champawat,4.314369878510292
2020-01-07,Dehra Dun,19.178371030347403
2020-01-07,Haridwar,18.86740312912292
2020-01-07,Naini Tal,2.9165171252748063
2020-01-07,Pauri Garhwal,13.682793997732396
2020-01-07,Pithoragarh,2.903204429931224
2020-01-07,Rudra Prayag,8.11190827462391
2020-01-07,Tehri Garhwal,18.219648360483507
2020-01-07,Udham Singh Nagar,3.1989180439489333
2020-01-07,Uttarkashi,10.597031647764515
2020-01-08,Almora,11.521922853928851
2020-01-08,Bageshwar,5.057979649753373
2020-01-08,Chamoli,1.3192636514420557
2020-01-08,Champawat,28.89135101959824
2020-01-08,Dehra Dun,19.137169104103236
2020-01-08,Haridwar,14.751976236248876
2020-01-08,Naini Tal,15.419455088193148
2020-01-08,Pauri Garhwal,10.798342970777949
2020-01-08,Pithoragarh,5.676999978009156
2020-01-08,Rudra Prayag,2.4977892358036176
2020-01-08,Tehri Garhwal,18.631875331446125
2020-01-08,Udham Singh Nagar,10.863251279718009
2020-01-08,Uttarkashi,3.807224566628389
2020-01-09,Almora,2.381350948521135
2020-01-09,Bageshwar,0.4138317920882187
2020-01-09,Chamoli,2.303936292169982
2020-01-09,Champawat,0.8938227776876543
2020-01-09,Dehra Dun,0.7676989432315411
2020-01-09,Haridwar,0.0
2020-01-09,Naini Tal,0.2093193336546453
2020-01-09,Pauri Garhwal,0.8457902057313056
2020-01-09,Pithoragarh,0.6210985674952374
2020-01-09,Rudra Prayag,1.358761623399155
2020-01-09,Tehri Garhwal,0.7508711234000316
2020-01-09,Udham Singh Nagar,0.0023765887466608
2020-01-09,Uttarkashi,0.1827239351829767
2020-01-10,Almora,0.927116982387192
2020-01-10,Bageshwar,0.2750468702906373
2020-01-10,Chamoli,0.7395832693345805
2020-01-10,Champawat,0.0
2020-01-10,Dehra Dun,0.081783180894687
2020-01-10,Haridwar,0.0010609261725681
2020-01-10,Naini Tal,0.0028572170164311
2020-01-10,Pauri Garhwal,0.0920680725559874
2020-01-10,Pithoragarh,0.1336833946385667
