event_id,start_date,end_date,duration_days,districts,main_cause,latitude,longitude,severity,event_source,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Location,State,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UKF_0069,2020-07-15,2020-07-15,1,Dehradun,Heavy Rains,,,,India Flood Inventory v3,5294,UEI-IMD-FL-2020-0138,15-07-2020 00:00,15-07-2020 00:00,1.0,,Uttarakhand,,4.0,2.0,,,"4 members of a family, including a pregnant woman & 8-year girl died,2 others injured in sleep due to wall collapsed in Chukkhuwala area.",Complete damage to a house reported,IMD,,49,5
UKF_0070,2020-07-18,2020-07-19,2,Pithoragarh,Heavy Rains & Cloud Burst,,,,India Flood Inventory v3,5295,UEI-IMD-FL-2020-0139,18-07-2020 00:00,19-07-2020 00:00,2.0,,Uttarakhand,,3.0,,8,,3 persons died in Madkot & 8 others missing from a neighbouring village.,"i) Damage to a bridge on Gori river in the hill town of Munsiyari reported. ii) 4 houses completely damaged. iii) Damage to main roads connecting district headquarters to Bangapani, Munsiyari,Dharchula areas reported. iv) Damage to water pipelines reported.",IMD,,53,5
UKF_0071,2020-08-25,2020-08-25,1,Chamoli,Heavy Rains & Cloud Burst,,,,India Flood Inventory v3,5296,UEI-IMD-FL-2020-0140,25-08-2020 00:00,25-08-2020 00:00,1.0,,Uttarakhand,,1.0,3.0,,,One junior Engineer died & other 3 severely injured in Pokhari area of Thali Ansari village due to wall collapsed.,i) Extensive damage to Panchayat Ghar reported. ii) The Rishikesh-Gangotri National Highway in Uttarakhand is blocked near Narendra Nagar,IMD,,47,5
UKF_0072,2021-02-07,2021-02-07,1,Chamoli,Nandadevi Glacier breaks off at Joshimath,,,,India Flood Inventory v3,5615,UEI-IMD-FL-2021-0306,07-02-2021 00:00,07-02-2021 00:00,1.0,,Uttarakhand,,70.0,,205,,,,IMD,,47,5
UKF_0073,2021-05-29,2021-05-29,1,Uttar Kashi Kashi ,Landslide,,,,India Flood Inventory v3,5616,UEI-IMD-FL-2021-0307,29-05-2021 00:00,29-05-2021 00:00,1.0,,Uttarakhand,,,,,,,,IMD,,,5
UKF_0074,2021-07-11,2021-07-11,1,Bageshwar,Landslide,,,,India Flood Inventory v3,5617,UEI-IMD-FL-2021-0308,11-07-2021 00:00,11-07-2021 00:00,1.0,,Uttarakhand,,3.0,,,,,,IMD,,46,5
UKF_0075,2021-07-11,2021-07-11,1,Chamoli ,Landslide,,,,India Flood Inventory v3,5618,UEI-IMD-FL-2021-0309,11-07-2021 00:00,11-07-2021 00:00,1.0,,Uttarakhand,,3.0,,,,,,IMD,,47,5
UKF_0076,2021-07-19,2021-07-19,1,Uttar Kashi Kashi,Heavy Rains,,,,India Flood Inventory v3,5619,UEI-IMD-FL-2021-0310,19-07-2021 00:00,19-07-2021 00:00,1.0,,Uttarakhand,,3.0,,,,,,IMD,,,5
UKF_0077,2021-08-29,2021-08-29,1,Pithoragarh, Heavy Rains,,,,India Flood Inventory v3,5620,UEI-IMD-FL-2021-0311,29-08-2021 00:00,29-08-2021 00:00,1.0,,Uttarakhand,,7.0,2.0,,,,,IMD,,53,5
UKF_0078,2021-10-16,2021-10-19,4,"Almora, Bageshwar, Chamoli, Champawat, Nainital, Garhwal, Pithoragarh, Udam Singh Nagar","Heavy Rain, Landslides & Floods",,,,India Flood Inventory v3,5621,UEI-IMD-FL-2021-0312,16-10-2021 00:00,19-10-2021 00:00,4.0,,Uttarakhand,,52.0,17.0,5,,,,IMD,,"45, 46, 47, 48, 51, 52, 53, 56",5
UKF_0079,2022-07-19,2022-07-19,1,Rudra Prayag,Heavy rains,,,,India Flood Inventory v3,6744,UEI-IMD-FL-2022-1098,19-07-2022 00:00,19-07-2022 00:00,1.0,,Uttarakhand,,2.0,6.0,,,,,IMD,,54,5
UKF_0080,2022-08-19,2022-08-19,1,"Dehradun, ",Cloudburst,,,,India Flood Inventory v3,6745,UEI-IMD-FL-2022-1099,19-08-2022 00:00,19-08-2022 00:00,1.0,,Uttarakhand,,,3.0,5,,,,IMD,,"49, 603",5
UKF_0081,2022-08-19,2022-08-19,1,Garhwal,Cloudburst,,,,India Flood Inventory v3,6746,UEI-IMD-FL-2022-1100,19-08-2022 00:00,19-08-2022 00:00,1.0,,Uttarakhand,,2.0,,,,,,IMD,,52,5
UKF_0082,2022-08-19,2022-08-19,1,Tehri Garhwal,Cloudburst,,,,India Flood Inventory v3,6747,UEI-IMD-FL-2022-1101,19-08-2022 00:00,19-08-2022 00:00,1.0,,Uttarakhand,,5.0,,2,,,,IMD,,55,5
UKF_0083,2022-08-28,2022-08-28,1,Dehradun,Heavy Rains,,,,India Flood Inventory v3,6748,UEI-IMD-FL-2022-1102,28-08-2022 00:00,28-08-2022 00:00,1.0,,Uttarakhand,,3.0,,,,,,IMD,,49,5
UKF_0084,2022-09-22,2022-09-22,1,"Dehradun, ",Landslides triggered by Heavy Rains,,,,India Flood Inventory v3,6749,UEI-IMD-FL-2022-1103,22-09-2022 00:00,22-09-2022 00:00,1.0,,Uttarakhand,,,,,,,,IMD,,"49, 603",5
UKF_0085,2022-09-22,2022-09-22,1,Uttar Kashi Kashi,Landslides triggered by Heavy Rains,,,,India Flood Inventory v3,6750,UEI-IMD-FL-2022-1104,22-09-2022 00:00,22-09-2022 00:00,1.0,,Uttarakhand,,1.0,,,,,,IMD,,,5
UKF_0086,2023-06-25,2023-06-25,1,Rudra Prayag,Heavy rains,,,,India Flood Inventory v3,7359,UEI-IMD-FL-2023-0574,25-06-2023 00:00,25-06-2023 00:00,1.0,,Uttarakhand,,1.0,,,,,,IMD,,54,5
UKF_0087,2023-06-25,2023-06-25,1,Uttar Kashi Kashi,Heavy rains,,,,India Flood Inventory v3,7360,UEI-IMD-FL-2023-0575,25-06-2023 00:00,25-06-2023 00:00,1.0,,Uttarakhand,,1.0,3.0,,,,,IMD,,,5
UKF_0088,2023-07-09,2023-07-09,1,Dehradun,Landslide,,,,India Flood Inventory v3,7361,UEI-IMD-FL-2023-0576,09-07-2023 00:00,09-07-2023 00:00,1.0,,Uttarakhand,,3.0,,,,,,IMD,,49,5
UKF_0089,2023-07-09,2023-07-09,1,Udam Singh Nagar,Heavy rains,,,,India Flood Inventory v3,7362,UEI-IMD-FL-2023-0577,09-07-2023 00:00,09-07-2023 00:00,1.0,,Uttarakhand,,2.0,1.0,,,,,IMD,,56,5
UKF_0090,2023-07-10,2023-07-10,1,Uttar Kashi Kashi,Heavy rains,,,,India Flood Inventory v3,7363,UEI-IMD-FL-2023-0578,10-07-2023 00:00,10-07-2023 00:00,1.0,,Uttarakhand,,4.0,7.0,,,,,IMD,,,5
UKF_0091,2023-07-11,2023-07-11,1,Pithoragarh,Heavy rains & Landslides,,,,India Flood Inventory v3,7364,UEI-IMD-FL-2023-0579,11-07-2023 00:00,11-07-2023 00:00,1.0,,Uttarakhand,,5.0,,,,,,IMD,,53,5
UKF_0092,2023-07-11,2023-07-11,1,Rudra Prayag,Heavy rains & Landslides,,,,India Flood Inventory v3,7365,UEI-IMD-FL-2023-0580,11-07-2023 00:00,11-07-2023 00:00,1.0,,Uttarakhand,,3.0,,,,,,IMD,,54,5
UKF_0093,2023-07-16,2023-07-16,1,Chamoli,Heavy rains & Floods,,,,India Flood Inventory v3,7366,UEI-IMD-FL-2023-0581,16-07-2023 00:00,16-07-2023 00:00,1.0,,Uttarakhand,,5.0,,,,,,IMD,,47,5
UKF_0094,2023-07-16,2023-07-16,1,Rudra Prayag,Heavy rains & Floods,,,,India Flood Inventory v3,7367,UEI-IMD-FL-2023-0582,16-07-2023 00:00,16-07-2023 00:00,1.0,,Uttarakhand,,,,,,,,IMD,,54,5
UKF_0095,2023-07-17,2023-07-17,1,Rudra Prayag,Heavy Rains & Floods,,,,India Flood Inventory v3,7368,UEI-IMD-FL-2023-0583,17-07-2023 00:00,17-07-2023 00:00,1.0,,Uttarakhand,,,14.0,,,,,IMD,,54,5
UKF_0096,2023-08-04,2023-08-04,1,Rudra Prayag,Massive Landslide,,,,India Flood Inventory v3,7369,UEI-IMD-FL-2023-0584,04-08-2023 00:00,04-08-2023 00:00,1.0,,Uttarakhand,,10.0,,13,,,,IMD,,54,5
UKF_0097,2023-08-06,2023-08-06,1,Tehri Garhwal,Heavy Rains,,,,India Flood Inventory v3,7370,UEI-IMD-FL-2023-0585,06-08-2023 00:00,06-08-2023 00:00,1.0,,Uttarakhand,,2.0,1.0,,,,,IMD,,55,5
UKF_0098,2023-08-07,2023-08-07,1,Rudra Prayag,Landslide,,,,India Flood Inventory v3,7371,UEI-IMD-FL-2023-0586,07-08-2023 00:00,07-08-2023 00:00,1.0,,Uttarakhand,,3.0,,17,,,,IMD,,54,5
UKF_0099,2023-08-09,2023-08-09,1,Rudra Prayag,Landslides,,,,India Flood Inventory v3,7372,UEI-IMD-FL-2023-0587,09-08-2023 00:00,09-08-2023 00:00,1.0,,Uttarakhand,,7.0,3.0,1,,,,IMD,,54,5
UKF_0100,2023-08-10,2023-08-10,1,Garhwal,Heavy Rains,,,,India Flood Inventory v3,7373,UEI-IMD-FL-2023-0588,10-08-2023 00:00,10-08-2023 00:00,1.0,,Uttarakhand,,1.0,,,,,,IMD,,52,5
UKF_0101,2023-08-10,2023-08-10,1,Rudra Prayag,Landslide,,,,India Flood Inventory v3,7374,UEI-IMD-FL-2023-0589,10-08-2023 00:00,10-08-2023 00:00,1.0,,Uttarakhand,,5.0,,,,,,IMD,,54,5
UKF_0102,2023-08-14,2023-08-14,1,Dehradun,Torrential rains & Landslides,,,,India Flood Inventory v3,7375,UEI-IMD-FL-2023-0590,14-08-2023 00:00,14-08-2023 00:00,1.0,,Uttarakhand,,4.0,,9,,,,IMD,,49,5
UKF_0103,2023-08-14,2023-08-14,1,Tehri Garhwal,Landslide,,,,India Flood Inventory v3,7376,UEI-IMD-FL-2023-0591,14-08-2023 00:00,14-08-2023 00:00,1.0,,Uttarakhand,,4.0,,,,,,IMD,,55,5
UKF_0104,2023-08-15,2023-08-15,1,Chamoli,Heavy Rains,,,,India Flood Inventory v3,7377,UEI-IMD-FL-2023-0592,15-08-2023 00:00,15-08-2023 00:00,1.0,,Uttarakhand,,,3.0,4,,,,IMD,,47,5
UKF_0105,2023-08-21,2023-08-21,1,Tehri Garhwal,Landslide,,,,India Flood Inventory v3,7378,UEI-IMD-FL-2023-0593,21-08-2023 00:00,21-08-2023 00:00,1.0,,Uttarakhand,,5.0,,,,,,IMD,,55,5
UKF_0106,2023-08-23,2023-08-23,1,Garhwal,Heavy Rains,,,,India Flood Inventory v3,7379,UEI-IMD-FL-2023-0594,23-08-2023 00:00,23-08-2023 00:00,1.0,,Uttarakhand,,1.0,,,,,,IMD,,52,5
UKF_0107,2023-08-26,2023-08-26,1,Chamoli,Heavy Rains & Floods,,,,India Flood Inventory v3,7418,UEI-IMD-FL-2023-0633,26-08-2023 00:00,26-08-2023 00:00,1.0,,Uttarakhand,,2.0,,,,,,IMD,,47,5
