event_id,start_date,end_date,duration_days,districts,main_cause,latitude,longitude,severity,event_source,Unnamed: 0,UEI,Start Date,End Date,Duration(Days),Location,State,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage,Event Source,Event Souce ID,District_LGD_Codes,State_Codes
UKF_0019,2002-08-11,2002-08-11,1,"Tehri Garhwal,Uttar Kashi Kashi",heavy rains,,,,India Flood Inventory v3,3097,UEI-IMD-FL-2002-0059,11-08-2002 00:00,11-08-2002 00:00,1.0,,Uttarakhand,,33.0,,,,(i)33 pesons died due to landslides (ii)Several cattleheads perished,"(i)Landslides reported (ii)Large number of houses destroyed (iii) Army employed for rescue work (iv) Rescue work hampered due to rains,bad light",IMD,,"55, None",5
UKF_0020,2002-09-12,2002-09-12,1,"Haridwar,Nainital",heavy rains,,,,India Flood Inventory v3,3100,UEI-IMD-FL-2002-0062,12-09-2002 00:00,12-09-2002 00:00,1.0,,Uttarakhand,,,,,,,Many houses collapsed,IMD,,"50, 51",5
UKF_0021,2003-07-04,2003-07-06,3,"Dehradun,Tehri Garhwal",heavy rains,,,,India Flood Inventory v3,3198,UEI-IMD-FL-2003-0093,04-07-2003 00:00,06-07-2003 00:00,3.0,,Uttarakhand,,5.0,,,,5 persons died in different incidents of drowning/ landslide,"(i)Landslide reported (ii)Road communication affctd. Gangotri, Riskhikesh,Badrinath cound traffic stranded",IMD,,"49, 55",5
UKF_0022,2003-09-21,2003-09-21,1,Pithoragarh,heavy rains,,,,India Flood Inventory v3,3199,UEI-IMD-FL-2003-0094,21-09-2003 00:00,21-09-2003 00:00,1.0,,Uttarakhand,,7.0,,,,7 ITBP personnel lost their lives while returning from the Panchchuli summit,Landslide reported,IMD,,53,5
UKF_0023,2004-05-29,2004-05-29,1,Bageshwar,flash flood(cloud burst),,,,India Flood Inventory v3,3280,UEI-IMD-FL-2004-0062,29-05-2004 00:00,29-05-2004 00:00,1.0,,Uttarakhand,,,3.0,,,3 persons swept away near Lohar Khet,,IMD,,46,5
UKF_0024,2004-06-01,2004-06-01,1,Almora,heavy rains(cloud burst),,,,India Flood Inventory v3,3281,UEI-IMD-FL-2004-0063,01-06-2004 00:00,01-06-2004 00:00,1.0,,Uttarakhand,,,,,,Several cattleheads washed away,Potato crop in 3000 hectares damaged,IMD,,45,5
UKF_0025,2004-07-06,2004-07-06,1,Chamoli,heavy rains(cloud burst),,,,India Flood Inventory v3,3282,UEI-IMD-FL-2004-0064,06-07-2004 00:00,06-07-2004 00:00,1.0,,Uttarakhand,,31.0,28.0,,,"31 pilgrims died,28 others injured when 3 vehicles carrying them swamped into the Alakhanda river due to massive landslide triggered by a cloud burst","(i)Landslide reported (ii)3 vehicles washed away (iii)More than 5000 pilgrims stranded as severe damage to road reported near Lambagar (iv) Bad weather hampered rescue,relief work",IMD,,47,5
UKF_0026,2004-07-28,2004-07-28,1,"Tehri Garhwal,Uttar Kashi Kashi",heavy rains,,,,India Flood Inventory v3,3283,UEI-IMD-FL-2004-0065,28-07-2004 00:00,28-07-2004 00:00,1.0,,Uttarakhand,,6.0,,,,6 persons buried alive in a landslide,Landslide reported,IMD,,"55, None",5
UKF_0027,2004-08-26,2004-08-26,1,Udam Singh Nagar,flash flood,,,,India Flood Inventory v3,3284,UEI-IMD-FL-2004-0066,26-08-2004 00:00,26-08-2004 00:00,1.0,,Uttarakhand,,8.0,,,,8 persons lost their lives,(i)Breaches at zero point of Nanak Sagar dam caused heavy destruction (ii)Chikadghat bridge washed away,IMD,,56,5
UKF_0028,2005-06-30,2005-06-30,1,Chamoli,heavy rains,,,,India Flood Inventory v3,3439,UEI-IMD-FL-2005-0146,30-06-2005 00:00,30-06-2005 00:00,1.0,,Uttarakhand,,9.0,,,,9 persons died due to landslide.,,IMD,,47,5
UKF_0029,2005-07-22,2005-07-22,1,Tehri Garhwal,heavy rains,,,,India Flood Inventory v3,3443,UEI-IMD-FL-2005-0150,22-07-2005 00:00,22-07-2005 00:00,1.0,,Uttarakhand,,4.0,,,,4 persons died in land slide incidence.,Landslide reported in Badiargarh area.,IMD,,55,5
UKF_0030,2005-08-03,2005-08-03,1,Tehri Garhwal,heavy rains,,,,India Flood Inventory v3,3444,UEI-IMD-FL-2005-0151,03-08-2005 00:00,03-08-2005 00:00,1.0,,Uttarakhand,,11.0,,,,11 persons died due to landslide.,,IMD,,55,5
UKF_0031,2005-08-05,2005-08-05,1,Pithoragarh,heavy rains,,,,India Flood Inventory v3,3445,UEI-IMD-FL-2005-0152,05-08-2005 00:00,05-08-2005 00:00,1.0,,Uttarakhand,,10.0,,,,10 persons died in cloud burst incidence at Dharchula.,,IMD,,53,5
UKF_0032,2005-09-05,2005-09-06,2,Bageshwar ,heavy rains,,,,India Flood Inventory v3,3449,UEI-IMD-FL-2005-0156,05-09-2005 00:00,06-09-2005 00:00,2.0,,Uttarakhand,,,,,,,Motor road damaged at Jaojit area.,IMD,,46,5
UKF_0033,2008-07-17,2008-07-17,1,Champawat,heavy rains,,,,India Flood Inventory v3,3839,UEI-IMD-FL-2008-0115,17-07-2008 00:00,17-07-2008 00:00,1.0,,Uttarakhand,,10.0,12.0,,,"10 persons died,12 injured.",Landslide reported.,IMD,,48,5
UKF_0034,2009-07-28,2009-07-28,1,Garhwal,heavy rains,,,,India Flood Inventory v3,3925,UEI-IMD-FL-2009-0074,28-07-2009 00:00,28-07-2009 00:00,1.0,,Uttarakhand,,6.0,,,,6 persons died.,Landslide reported.,IMD,,52,5
UKF_0035,2009-08-08,2009-08-08,1,Pithoragarh,severe flood (cloud burst),,,,India Flood Inventory v3,3927,UEI-IMD-FL-2009-0076,08-08-2009 00:00,08-08-2009 00:00,1.0,,Uttarakhand,,43.0,,,100,i) About 43 persons died. i) ii) About 100 cattle heads perished. ,i)About 12 houses trapped under debris. ii) Landslide reported.,IMD,,53,5
UKF_0036,2010-07-05,2010-07-05,1,Mathura,heavy rains,,,,India Flood Inventory v3,4072,UEI-IMD-FL-2010-0135,05-07-2010 00:00,05-07-2010 00:00,1.0,,Uttarakhand,,6.0,2.0,,,"6 persons died,2 others injured.",,IMD,,167,5
UKF_0037,2010-08-18,2010-08-18,1,Bageshwar,heavy rains,,,,India Flood Inventory v3,4073,UEI-IMD-FL-2010-0136,18-08-2010 00:00,18-08-2010 00:00,1.0,,Uttarakhand,,18.0,8.0,,,"18 children died,8 others injured due to school roof collapsed. ",i) Landslide reported. ii) Damage to public property reported. ,IMD,,46,5
UKF_0038,2010-09-18,2010-09-19,2,"Almora, Dehradun,Nainital",heavy rains,,,,India Flood Inventory v3,4077,UEI-IMD-FL-2010-0140,18-09-2010 00:00,19-09-2010 00:00,2.0,,Uttarakhand,,20.0,,,,About 20 persons buried alive in the landslide incidence. ,i) Cloud burst reported. ii) Many people rendered homeless. ,IMD,,"45, 49, 51",5
