system:index,date,rainfall_mm,.geo
71,2020-03-12,7.2924840943942995,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2020-03-13,13.304367156934944,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2020-03-14,7.890619133999448,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2020-03-15,0.513473162820259,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2020-03-16,0.3951268969373192,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2020-03-17,0.19516113693565387,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2020-03-18,1.5685337905495575,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2020-03-19,1.0698894666331207,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2020-03-20,0.8090102323603987,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2020-03-21,2.229721043186458,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2020-03-22,1.0487172363443602,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2020-03-23,0.3724999330846738,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2020-03-24,3.335970314615383,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2020-03-25,1.1399645514289134,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2020-03-26,2.0766567171448895,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2020-03-27,11.765267284694422,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2020-03-28,0.24099122083195812,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2020-03-29,0.28799392452851275,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2020-03-30,0.08937309161044175,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2020-03-31,2.2347485889281336,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2020-04-01,0.3088866054648716,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2020-04-02,0.28434338288575833,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2020-04-03,0.0443742012793698,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2020-04-04,0.3495177513348818,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2020-04-05,0.15497414382087507,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2020-04-06,0.16990222855378462,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2020-04-07,0.3032237903517606,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2020-04-08,2.0664970165755876,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2020-04-09,0.15993555080439956,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2020-04-10,2.642656163578623,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2020-04-11,0.09100524989221827,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2020-04-12,0.20938195813176722,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2020-04-13,0.6894962691672636,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2020-04-14,5.465392262385428,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2020-04-15,1.7850477697634337,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2020-04-16,0.44768116764208377,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2020-04-17,3.3032693145581833,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2020-04-18,2.4600197442457468,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2020-04-19,1.0615804676259333,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2020-04-20,1.8862951211594627,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2020-04-21,1.8660156130612477,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2020-04-22,0.2628668432023088,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2020-04-23,1.2370750561684125,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2020-04-24,0.40640508283739896,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2020-04-25,2.4674289212355984,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2020-04-26,7.754313798631665,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2020-04-27,2.7712261045006876,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2020-04-28,0.4754929852105894,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2020-04-29,0.40099302643571716,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2020-04-30,7.731434992712957,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2020-05-01,0.5486176918834897,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2020-05-02,4.583127402035372,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2020-05-03,8.288638989391153,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2020-05-04,1.3369671106323497,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2020-05-05,2.844300899809775,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2020-05-06,5.694494797679472,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2020-05-07,0.8068715383499206,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2020-05-08,0.14859626536478437,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2020-05-09,3.99938140243784,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2020-05-10,7.95776536290895,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2020-05-11,1.187437587358139,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2020-05-12,1.4498372672900275,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2020-05-13,1.2111544418037645,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2020-05-14,1.6855464891825758,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2020-05-15,0.09028674304633005,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2020-05-16,0.15648558201608392,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2020-05-17,0.14296311524202726,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2020-05-18,0.21965712938768456,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2020-05-19,0.227225076271148,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2020-05-20,0.27806058703107445,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2020-05-21,0.37368315374118183,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2020-05-22,0.25941527922062896,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2020-05-23,0.8645349148590062,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2020-05-24,0.6134754562881873,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2020-05-25,0.9304795345757192,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2020-05-26,1.7442712996054408,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2020-05-27,2.812391876436884,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2020-05-28,3.893000782727035,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2020-05-29,2.4628956773392705,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2020-05-30,2.8210329419995035,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2020-05-31,8.018769206818396,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2020-06-01,3.07108421689428,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2020-06-02,1.1768462407679328,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2020-06-03,1.2113246679646077,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2020-06-04,10.363701203542297,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2020-06-05,4.4891414501009965,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2020-06-06,2.6115245667252727,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2020-06-07,1.3621982843363225,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2020-06-08,1.6189329668197687,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2020-06-09,1.7867641581524776,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2020-06-10,2.8152215720074594,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2020-06-11,1.7256442360067568,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2020-06-12,2.4279084796702493,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2020-06-13,5.2965182600306955,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2020-06-14,2.0491004450937065,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2020-06-15,1.481616094881294,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2020-06-16,2.2000351185024116,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2020-06-17,1.2225344606838469,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2020-06-18,0.9901654759363068,"{""type"":""MultiPoint"",""coordinates"":[]}"
170,2020-06-19,1.0583112289745724,"{""type"":""MultiPoint"",""coordinates"":[]}"
171,2020-06-20,3.233900719647161,"{""type"":""MultiPoint"",""coordinates"":[]}"
172,2020-06-21,1.2245713797475273,"{""type"":""MultiPoint"",""coordinates"":[]}"
173,2020-06-22,2.2870793692337106,"{""type"":""MultiPoint"",""coordinates"":[]}"
174,2020-06-23,9.217966376217358,"{""type"":""MultiPoint"",""coordinates"":[]}"
175,2020-06-24,6.920914697569966,"{""type"":""MultiPoint"",""coordinates"":[]}"
176,2020-06-25,3.7602246853856305,"{""type"":""MultiPoint"",""coordinates"":[]}"
177,2020-06-26,1.6696310483016463,"{""type"":""MultiPoint"",""coordinates"":[]}"
178,2020-06-27,1.2080747087131731,"{""type"":""MultiPoint"",""coordinates"":[]}"
179,2020-06-28,6.594952983671988,"{""type"":""MultiPoint"",""coordinates"":[]}"
180,2020-06-29,5.991215902330813,"{""type"":""MultiPoint"",""coordinates"":[]}"
181,2020-06-30,0.8014740899828374,"{""type"":""MultiPoint"",""coordinates"":[]}"
182,2020-07-01,6.3763363338906265,"{""type"":""MultiPoint"",""coordinates"":[]}"
183,2020-07-02,8.972861731805548,"{""type"":""MultiPoint"",""coordinates"":[]}"
184,2020-07-03,14.334740302563917,"{""type"":""MultiPoint"",""coordinates"":[]}"
185,2020-07-04,25.342138860978963,"{""type"":""MultiPoint"",""coordinates"":[]}"
186,2020-07-05,15.042144873240655,"{""type"":""MultiPoint"",""coordinates"":[]}"
187,2020-07-06,7.509748567001955,"{""type"":""MultiPoint"",""coordinates"":[]}"
188,2020-07-07,30.92165949578958,"{""type"":""MultiPoint"",""coordinates"":[]}"
189,2020-07-08,14.257518090513582,"{""type"":""MultiPoint"",""coordinates"":[]}"
190,2020-07-09,8.913500329549446,"{""type"":""MultiPoint"",""coordinates"":[]}"
191,2020-07-10,11.787089326511893,"{""type"":""MultiPoint"",""coordinates"":[]}"
192,2020-07-11,8.43929555638155,"{""type"":""MultiPoint"",""coordinates"":[]}"
193,2020-07-12,8.933642409882069,"{""type"":""MultiPoint"",""coordinates"":[]}"
194,2020-07-13,0.9370037910989105,"{""type"":""MultiPoint"",""coordinates"":[]}"
195,2020-07-14,2.0966426310421427,"{""type"":""MultiPoint"",""coordinates"":[]}"
196,2020-07-15,3.6486569732530065,"{""type"":""MultiPoint"",""coordinates"":[]}"
197,2020-07-16,5.350804010628787,"{""type"":""MultiPoint"",""coordinates"":[]}"
198,2020-07-17,8.134570379848086,"{""type"":""MultiPoint"",""coordinates"":[]}"
199,2020-07-18,13.006719467692534,"{""type"":""MultiPoint"",""coordinates"":[]}"
200,2020-07-19,4.322058273344218,"{""type"":""MultiPoint"",""coordinates"":[]}"
201,2020-07-20,8.794554757950326,"{""type"":""MultiPoint"",""coordinates"":[]}"
202,2020-07-21,13.003193892511549,"{""type"":""MultiPoint"",""coordinates"":[]}"
203,2020-07-22,4.115882450934378,"{""type"":""MultiPoint"",""coordinates"":[]}"
204,2020-07-23,3.510540479065174,"{""type"":""MultiPoint"",""coordinates"":[]}"
205,2020-07-24,4.626461903524875,"{""type"":""MultiPoint"",""coordinates"":[]}"
206,2020-07-25,5.195104729896527,"{""type"":""MultiPoint"",""coordinates"":[]}"
207,2020-07-26,5.9584635063844615,"{""type"":""MultiPoint"",""coordinates"":[]}"
208,2020-07-27,8.917699329090604,"{""type"":""MultiPoint"",""coordinates"":[]}"
209,2020-07-28,16.076381503166957,"{""type"":""MultiPoint"",""coordinates"":[]}"
210,2020-07-29,12.58199199156778,"{""type"":""MultiPoint"",""coordinates"":[]}"
211,2020-07-30,8.352574877039935,"{""type"":""MultiPoint"",""coordinates"":[]}"
212,2020-07-31,11.533995749362617,"{""type"":""MultiPoint"",""coordinates"":[]}"
213,2020-08-01,6.658624685255683,"{""type"":""MultiPoint"",""coordinates"":[]}"
214,2020-08-02,2.3915628338172126,"{""type"":""MultiPoint"",""coordinates"":[]}"
215,2020-08-03,4.7394651470259,"{""type"":""MultiPoint"",""coordinates"":[]}"
216,2020-08-04,4.0389746365374934,"{""type"":""MultiPoint"",""coordinates"":[]}"
217,2020-08-05,4.858641557582983,"{""type"":""MultiPoint"",""coordinates"":[]}"
218,2020-08-06,16.453962583109732,"{""type"":""MultiPoint"",""coordinates"":[]}"
219,2020-08-07,4.795357809478736,"{""type"":""MultiPoint"",""coordinates"":[]}"
220,2020-08-08,17.869879376193367,"{""type"":""MultiPoint"",""coordinates"":[]}"
221,2020-08-09,14.117924087222448,"{""type"":""MultiPoint"",""coordinates"":[]}"
222,2020-08-10,9.554917858233141,"{""type"":""MultiPoint"",""coordinates"":[]}"
223,2020-08-11,5.558946628634894,"{""type"":""MultiPoint"",""coordinates"":[]}"
224,2020-08-12,8.314343360775883,"{""type"":""MultiPoint"",""coordinates"":[]}"
225,2020-08-13,18.47630810397539,"{""type"":""MultiPoint"",""coordinates"":[]}"
226,2020-08-14,7.461232942587442,"{""type"":""MultiPoint"",""coordinates"":[]}"
227,2020-08-15,4.162132061628867,"{""type"":""MultiPoint"",""coordinates"":[]}"
228,2020-08-16,2.1308958975041605,"{""type"":""MultiPoint"",""coordinates"":[]}"
229,2020-08-17,4.301356109666425,"{""type"":""MultiPoint"",""coordinates"":[]}"
230,2020-08-18,19.45239288792351,"{""type"":""MultiPoint"",""coordinates"":[]}"
231,2020-08-19,26.0631305675656,"{""type"":""MultiPoint"",""coordinates"":[]}"
232,2020-08-20,8.842289665893185,"{""type"":""MultiPoint"",""coordinates"":[]}"
233,2020-08-21,4.496145201331183,"{""type"":""MultiPoint"",""coordinates"":[]}"
234,2020-08-22,3.2483266844948964,"{""type"":""MultiPoint"",""coordinates"":[]}"
235,2020-08-23,2.347103740470866,"{""type"":""MultiPoint"",""coordinates"":[]}"
236,2020-08-24,13.59046811158134,"{""type"":""MultiPoint"",""coordinates"":[]}"
237,2020-08-25,9.026187348778222,"{""type"":""MultiPoint"",""coordinates"":[]}"
238,2020-08-26,14.736984540616465,"{""type"":""MultiPoint"",""coordinates"":[]}"
239,2020-08-27,2.216213337431085,"{""type"":""MultiPoint"",""coordinates"":[]}"
240,2020-08-28,9.60393849659654,"{""type"":""MultiPoint"",""coordinates"":[]}"
241,2020-08-29,3.4982836304956333,"{""type"":""MultiPoint"",""coordinates"":[]}"
242,2020-08-30,1.1638295707328001,"{""type"":""MultiPoint"",""coordinates"":[]}"
243,2020-08-31,0.3769430349649206,"{""type"":""MultiPoint"",""coordinates"":[]}"
244,2020-09-01,1.528349998738562,"{""type"":""MultiPoint"",""coordinates"":[]}"
245,2020-09-02,4.5966705240416585,"{""type"":""MultiPoint"",""coordinates"":[]}"
246,2020-09-03,2.1892871211118847,"{""type"":""MultiPoint"",""coordinates"":[]}"
247,2020-09-04,0.8422170678370341,"{""type"":""MultiPoint"",""coordinates"":[]}"
248,2020-09-05,6.195594240547703,"{""type"":""MultiPoint"",""coordinates"":[]}"
249,2020-09-06,3.123093822967998,"{""type"":""MultiPoint"",""coordinates"":[]}"
250,2020-09-07,0.880942769207278,"{""type"":""MultiPoint"",""coordinates"":[]}"
251,2020-09-08,0.5712377303923426,"{""type"":""MultiPoint"",""coordinates"":[]}"
252,2020-09-09,0.30839115719009774,"{""type"":""MultiPoint"",""coordinates"":[]}"
253,2020-09-10,0.2903460871203863,"{""type"":""MultiPoint"",""coordinates"":[]}"
254,2020-09-11,0.2639525889950878,"{""type"":""MultiPoint"",""coordinates"":[]}"
255,2020-09-12,0.41265745601847464,"{""type"":""MultiPoint"",""coordinates"":[]}"
256,2020-09-13,1.0368475673693975,"{""type"":""MultiPoint"",""coordinates"":[]}"
257,2020-09-14,1.469647395475122,"{""type"":""MultiPoint"",""coordinates"":[]}"
258,2020-09-15,1.412925991397003,"{""type"":""MultiPoint"",""coordinates"":[]}"
259,2020-09-16,0.9893212873444243,"{""type"":""MultiPoint"",""coordinates"":[]}"
260,2020-09-17,0.44768994059694117,"{""type"":""MultiPoint"",""coordinates"":[]}"
261,2020-09-18,0.6373206348947964,"{""type"":""MultiPoint"",""coordinates"":[]}"
262,2020-09-19,0.2491683338279242,"{""type"":""MultiPoint"",""coordinates"":[]}"
263,2020-09-20,0.38572583060213494,"{""type"":""MultiPoint"",""coordinates"":[]}"
264,2020-09-21,1.264926889126525,"{""type"":""MultiPoint"",""coordinates"":[]}"
265,2020-09-22,3.4586321974902035,"{""type"":""MultiPoint"",""coordinates"":[]}"
266,2020-09-23,3.2169647571302398,"{""type"":""MultiPoint"",""coordinates"":[]}"
267,2020-09-24,1.054037674141896,"{""type"":""MultiPoint"",""coordinates"":[]}"
268,2020-09-25,0.6553276563519941,"{""type"":""MultiPoint"",""coordinates"":[]}"
269,2020-09-26,1.117457938955935,"{""type"":""MultiPoint"",""coordinates"":[]}"
270,2020-09-27,0.23487765938980204,"{""type"":""MultiPoint"",""coordinates"":[]}"
271,2020-09-28,0.6858787960686205,"{""type"":""MultiPoint"",""coordinates"":[]}"
272,2020-09-29,0.1506108544702916,"{""type"":""MultiPoint"",""coordinates"":[]}"
273,2020-09-30,0.17048385011813688,"{""type"":""MultiPoint"",""coordinates"":[]}"
274,2020-10-01,0.21387662365112023,"{""type"":""MultiPoint"",""coordinates"":[]}"
275,2020-10-02,0.3105669662433914,"{""type"":""MultiPoint"",""coordinates"":[]}"
276,2020-10-03,0.3880211156652392,"{""type"":""MultiPoint"",""coordinates"":[]}"
277,2020-10-04,0.2563605598502955,"{""type"":""MultiPoint"",""coordinates"":[]}"
278,2020-10-05,0.8623133344851203,"{""type"":""MultiPoint"",""coordinates"":[]}"
279,2020-10-06,0.5547179290173737,"{""type"":""MultiPoint"",""coordinates"":[]}"
280,2020-10-07,0.406725246795448,"{""type"":""MultiPoint"",""coordinates"":[]}"
281,2020-10-08,0.1674494782735982,"{""type"":""MultiPoint"",""coordinates"":[]}"
282,2020-10-09,0.2453493949958061,"{""type"":""MultiPoint"",""coordinates"":[]}"
283,2020-10-10,0.27226294814567326,"{""type"":""MultiPoint"",""coordinates"":[]}"
284,2020-10-11,0.05085113089695214,"{""type"":""MultiPoint"",""coordinates"":[]}"
285,2020-10-12,0.2118724271243046,"{""type"":""MultiPoint"",""coordinates"":[]}"
286,2020-10-13,0.15039917525180688,"{""type"":""MultiPoint"",""coordinates"":[]}"
287,2020-10-14,0.2101580247587698,"{""type"":""MultiPoint"",""coordinates"":[]}"
288,2020-10-15,0.11858842692558154,"{""type"":""MultiPoint"",""coordinates"":[]}"
289,2020-10-16,0.16310663284210183,"{""type"":""MultiPoint"",""coordinates"":[]}"
290,2020-10-17,0.11798634156988369,"{""type"":""MultiPoint"",""coordinates"":[]}"
291,2020-10-18,0.33718828911934523,"{""type"":""MultiPoint"",""coordinates"":[]}"
292,2020-10-19,0.579547993803435,"{""type"":""MultiPoint"",""coordinates"":[]}"
293,2020-10-20,0.46101288503632876,"{""type"":""MultiPoint"",""coordinates"":[]}"
294,2020-10-21,0.4282062411544308,"{""type"":""MultiPoint"",""coordinates"":[]}"
